Nom_Pays;Nom_Indicateur;Nom_Culture;Année;Unité_Indicateur;Valeur;Flag;Description du Symbole;IDIndicateurs;IDCulture;IDAnnée;IDPays;IDFlag
Ghana;Superficie récoltée;Cacao, fèves;2017;ha;1863830;I;Valeur imputée;82;82;82;82;82
Ghana;Rendement;Cacao, fèves;2017;kg/ha;520.1;E;Valeur estimée;83;83;83;83;83
Ghana;Production;Cacao, fèves;2017;tonnes;969300;X;Chiffre de sources internationales;84;84;84;84;84
Ghana;Superficie récoltée;Cacao, fèves;2018;ha;1726616;I;Valeur imputée;85;85;85;85;85
Ghana;Rendement;Cacao, fèves;2018;kg/ha;524;E;Valeur estimée;86;86;86;86;86
Ghana;Production;Cacao, fèves;2018;tonnes;904700;X;Chiffre de sources internationales;87;87;87;87;87
Ghana;Superficie récoltée;Cacao, fèves;2019;ha;1536624;I;Valeur imputée;88;88;88;88;88
Ghana;Rendement;Cacao, fèves;2019;kg/ha;528.2;E;Valeur estimée;89;89;89;89;89
Ghana;Production;Cacao, fèves;2019;tonnes;811700;X;Chiffre de sources internationales;90;90;90;90;90
Ghana;Superficie récoltée;Cacao, fèves;2020;ha;1476750;I;Valeur imputée;91;91;91;91;91
Ghana;Rendement;Cacao, fèves;2020;kg/ha;541.7;E;Valeur estimée;92;92;92;92;92
Ghana;Production;Cacao, fèves;2020;tonnes;800000;A;Chiffre officiel;93;93;93;93;93
Ghana;Superficie récoltée;Cacao, fèves;2021;ha;1895400;I;Valeur imputée;94;94;94;94;94
Ghana;Rendement;Cacao, fèves;2021;kg/ha;552.6;E;Valeur estimée;95;95;95;95;95
Ghana;Production;Cacao, fèves;2021;tonnes;1047385;A;Chiffre officiel;96;96;96;96;96
Ghana;Superficie récoltée;Cacao, fèves;2022;ha;1219305;I;Valeur imputée;97;97;97;97;97
Ghana;Rendement;Cacao, fèves;2022;kg/ha;560.4;E;Valeur estimée;98;98;98;98;98
Ghana;Production;Cacao, fèves;2022;tonnes;683300;X;Chiffre de sources internationales;99;99;99;99;99
